epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2358,1.59313,4.82183,1.70366,0.53739,0.2263,0.2408,0.18883,1.09601,2.97839,1.47416,5.32833e-05,5.32833e-05,5.32833e-05
2,75.369,1.21066,3.53247,1.42959,0.91255,0.52446,0.55865,0.48751,1.03115,1.95859,1.4492,0.000104832,0.000104832,0.000104832
3,112.601,1.12136,2.80898,1.35996,0.93361,0.55039,0.60243,0.53126,1.008,1.71245,1.44443,0.000154256,0.000154256,0.000154256
4,149.35,1.05958,2.39676,1.31748,0.96176,0.57848,0.61445,0.54409,0.98209,1.58893,1.45176,0.000151437,0.000151437,0.000151437
5,186.411,1.00933,2.17458,1.28485,0.9801,0.58248,0.61936,0.55123,0.97841,1.51317,1.45357,0.000148249,0.000148249,0.000148249
6,223.606,0.97226,2.06822,1.26624,0.9409,0.61402,0.62995,0.56522,0.96664,1.43948,1.42232,0.000145061,0.000145061,0.000145061
7,260.427,0.94717,1.9765,1.25397,0.95699,0.59074,0.61919,0.55575,0.91222,1.46094,1.40184,0.000141873,0.000141873,0.000141873
8,297.025,0.91784,1.89245,1.23517,0.97287,0.60708,0.62837,0.56864,0.90308,1.42695,1.38111,0.000138685,0.000138685,0.000138685
9,333.592,0.90399,1.82094,1.22616,0.96937,0.6044,0.63535,0.58403,0.86215,1.40936,1.36621,0.000135498,0.000135498,0.000135498
10,370.186,0.88824,1.77584,1.21548,0.9734,0.60153,0.63707,0.58332,0.8535,1.40109,1.34284,0.00013231,0.00013231,0.00013231
11,407.542,0.86864,1.72875,1.20481,0.97158,0.61098,0.63242,0.58915,0.84429,1.39907,1.34953,0.000129122,0.000129122,0.000129122
12,444.799,0.8526,1.69404,1.20259,0.95983,0.61246,0.63236,0.58629,0.84251,1.36797,1.33437,0.000125934,0.000125934,0.000125934
13,481.037,0.83848,1.64648,1.19237,0.97475,0.6065,0.63294,0.59027,0.80968,1.37986,1.3155,0.000122746,0.000122746,0.000122746
14,518.222,0.8299,1.62488,1.18746,0.9681,0.60988,0.63371,0.58492,0.82844,1.35938,1.33932,0.000119559,0.000119559,0.000119559
15,555.192,0.81883,1.58461,1.17871,0.99359,0.59589,0.63258,0.58962,0.79531,1.35379,1.31737,0.000116371,0.000116371,0.000116371
16,592.103,0.8131,1.56482,1.1785,0.99354,0.59512,0.63178,0.58768,0.81452,1.3642,1.33089,0.000113183,0.000113183,0.000113183
17,628.999,0.82202,1.574,1.18499,0.96933,0.61187,0.63251,0.58953,0.80341,1.34867,1.32212,0.000109995,0.000109995,0.000109995
18,665.686,0.79921,1.51258,1.16875,0.96309,0.60877,0.63052,0.5925,0.78749,1.32629,1.31267,0.000106807,0.000106807,0.000106807
19,703.069,0.79452,1.51125,1.17145,0.99321,0.59649,0.63793,0.59581,0.79331,1.32447,1.31163,0.00010362,0.00010362,0.00010362
20,739.692,0.78517,1.47752,1.16046,0.99114,0.59649,0.63414,0.59113,0.79072,1.32738,1.3141,0.000100432,0.000100432,0.000100432
